CreatedAt,UpdatedAt,ID,RecordingID,DeviceID,DeviceName,Duration,EffectivePeriod.Start,EffectivePeriod.End,DataValid,DataValidationError
2025-05-18T11:30:44Z,2025-05-18T11:30:44Z,01JVHJFJ9MNQDN64S7GWAQTP00,0196e327-c931-b237-64a5-f86946e446ff,internal:accelerometer,Internal Accelerometer,46.566s,2025-05-18T11:29:17Z,2025-05-18T11:30:04Z,valid,
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHHN3EMZ94Y0HGWPKATKEVZ,0196e31a-8dd4-a3e6-a29e-8466e028cc92,internal:accelerometer,Internal Accelerometer,35.192s,2025-05-18T11:14:50Z,2025-05-18T11:15:25Z,valid,
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJ8VPER6MH8VXX45F1DSBY,0196e324-6ecc-fe3c-6174-1cb9ae23498f,internal:accelerometer,Internal Accelerometer,31.717s,2025-05-18T11:25:37Z,2025-05-18T11:26:09Z,valid,
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJCBD0TW763Q2EWXJSWAKM,0196e326-2d9e-68ba-c5ac-298bc227b3c0,internal:accelerometer,Internal Accelerometer,33.55s,2025-05-18T11:27:32Z,2025-05-18T11:28:05Z,valid,
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,0196e32d-109c-328e-4c97-a6b3d94eeded,D4:22:CD:00:38:5C,Movella DOT,29.851s,2025-05-18T11:35:03Z,2025-05-18T11:35:33Z,valid,
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,0196e32f-830d-cc0a-e310-52881398151d,D4:22:CD:00:38:5C,Movella DOT,29.885s,2025-05-18T11:37:44Z,2025-05-18T11:38:14Z,valid,
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHK6EKE2PWKBP46SBNYVD0E,0196e333-3a6d-7462-fc31-5b570442e73b,internal:accelerometer,Internal Accelerometer,40.038s,2025-05-18T11:41:47Z,2025-05-18T11:42:27Z,valid,
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHKA987PFT702MWRPCZYB9F,0196e335-2506-0e1b-aa3b-0fb40d19f391,internal:accelerometer,Internal Accelerometer,42.096s,2025-05-18T11:43:53Z,2025-05-18T11:44:35Z,valid,
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,0196e338-04be-3528-7a70-c5ad93274b8d,D4:22:CD:00:38:5C,Movella DOT,29.785s,2025-05-18T11:47:01Z,2025-05-18T11:47:31Z,valid,
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,0196e339-db73-b33f-2ad7-0a4c55116691,D4:22:CD:00:38:5C,Movella DOT,29.785s,2025-05-18T11:49:02Z,2025-05-18T11:49:32Z,valid,
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,0196e33f-9188-af20-170d-fe77c0782f37,D4:22:CD:00:38:5C,Movella DOT,18.967s,2025-05-18T11:55:16Z,2025-05-18T11:55:35Z,valid,
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,0196e33e-5ef1-5983-f629-bc6d664463ff,D4:22:CD:00:38:5C,Movella DOT,20.601s,2025-05-18T11:53:58Z,2025-05-18T11:54:18Z,valid,
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,0196e344-6494-7c9c-5e40-a0a20cd1f3ff,D4:22:CD:00:38:5C,Movella DOT,29.651s,2025-05-18T12:00:32Z,2025-05-18T12:01:02Z,valid,
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,0196e345-47de-67c0-3c20-edd2ac519a2a,D4:22:CD:00:38:5C,Movella DOT,29.651s,2025-05-18T12:01:30Z,2025-05-18T12:02:00Z,valid,
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,0196e34a-224e-9926-147b-ea790a41e66f,D4:22:CD:00:38:5C,Movella DOT,20.151s,2025-05-18T12:06:49Z,2025-05-18T12:07:09Z,valid,
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,0196e34d-ee70-25af-a55e-a08ee79e1193,D4:22:CD:00:38:5C,Movella DOT,16.517s,2025-05-18T12:10:57Z,2025-05-18T12:11:14Z,valid,
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,0196e34f-3518-106a-a7a8-3e46f0a10a31,D4:22:CD:00:38:5C,Movella DOT,16.667s,2025-05-18T12:12:21Z,2025-05-18T12:12:38Z,valid,
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,0196e34b-7591-e688-f7f4-29cd7f0db321,D4:22:CD:00:38:5C,Movella DOT,20.901s,2025-05-18T12:08:15Z,2025-05-18T12:08:36Z,valid,
2025-05-21T11:41:44Z,2025-05-21T11:41:44Z,01JVS9B6G5QWA9W8M3CAG793FK,0196f295-9a04-ee1e-f89f-e948b977a92a,internal:accelerometer,Internal Accelerometer,33.194s,2025-05-21T11:23:32Z,2025-05-21T11:24:06Z,valid,
2025-05-21T11:42:14Z,2025-05-21T11:42:14Z,01JVS9D186CMMTFAVJAKC1QGQQ,0196f296-8504-3650-2555-ca56f5d4cd31,internal:accelerometer,Internal Accelerometer,31.337s,2025-05-21T11:24:33Z,2025-05-21T11:25:04Z,valid,
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,0196f29b-24bd-237b-46c5-5417006f5941,D4:22:CD:00:38:5C,Movella DOT,29.635s,2025-05-21T11:29:36Z,2025-05-21T11:30:06Z,valid,
2025-05-21T13:09:44Z,2025-05-21T13:09:44Z,01JVS9H2XBMF0Z2SJ5VHQ5J1WN,0196f298-8ba9-60a1-ca9b-4460d3383044,internal:accelerometer,Internal Accelerometer,30.454s,2025-05-21T11:26:45Z,2025-05-21T11:27:16Z,valid,
2025-05-21T13:09:44Z,2025-05-21T13:09:44Z,01JVS9JJB93PR2M7Y5ZHEHMEM9,0196f299-495b-7f11-d4b6-7d6ddcf717b3,internal:accelerometer,Internal Accelerometer,31.469s,2025-05-21T11:27:34Z,2025-05-21T11:28:05Z,valid,
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,0196f32b-e5b7-2391-40e8-bf9f89f96a1b,D4:22:CD:00:38:5C,Movella DOT,29.869s,2025-05-21T14:07:42Z,2025-05-21T14:08:12Z,valid,
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,0196f32d-babf-1a5a-5a33-a8f47bea680e,D4:22:CD:00:38:5C,Movella DOT,17.734s,2025-05-21T14:09:42Z,2025-05-21T14:10:00Z,valid,
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJX9H09X2W7J4CDZAW9QX4,0196f32e-a61e-1837-65b8-007d3d415546,D4:22:CD:00:38:5C,Movella DOT,19.968s,2025-05-21T14:10:43Z,2025-05-21T14:11:03Z,valid,
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJHFA8ZC15CECRVH77C5YB,0196f328-bd46-1760-6404-3fbfb7a991ed,internal:accelerometer,Internal Accelerometer,30.645s,2025-05-21T14:04:15Z,2025-05-21T14:04:46Z,valid,
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJJY2KM19FRH1WV3D91Q8T,0196f329-7850-1944-9e72-30e8b05c54a0,internal:accelerometer,Internal Accelerometer,31.529s,2025-05-21T14:05:03Z,2025-05-21T14:05:35Z,valid,
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJNH0ZR5D2K48BK5PYWE48,0196f32a-c41e-f914-dc37-ed1606011254,D4:22:CD:00:38:5C,Movella DOT,29.885s,2025-05-21T14:06:28Z,2025-05-21T14:06:58Z,valid,
2025-06-18T12:59:51Z,2025-06-18T12:59:51Z,01JY1HSZ7T13WBYG808D072E8Y,0197831c-fcf8-b7c6-b761-66acb6310861,D4:22:CD:00:38:5C,Movella DOT,20.168s,2025-06-18T12:56:44Z,2025-06-18T12:57:05Z,valid,
2025-06-18T13:00:21Z,2025-06-18T13:00:21Z,01JY1HWVZH8FX56AJ0AHSX3N1K,0197831e-6fee-33d3-6168-baff49378478,D4:22:CD:00:38:5C,Movella DOT,18.651s,2025-06-18T12:58:19Z,2025-06-18T12:58:38Z,valid,
2025-06-18T13:06:51Z,2025-06-18T13:06:51Z,01JY1J1WNH7AF9AM1DBHVWV0NF,01978320-f2af-04e4-0d46-cdfa9edaddee,D4:22:CD:00:38:5C,Movella DOT,29.802s,2025-06-18T13:01:04Z,2025-06-18T13:01:34Z,valid,
2025-06-18T13:07:21Z,2025-06-18T13:07:21Z,01JY1J5DK4QSD41C846YY76X29,01978322-b662-b8dc-f374-5454811b76b8,D4:22:CD:00:38:5C,Movella DOT,29.752s,2025-06-18T13:03:00Z,2025-06-18T13:03:29Z,valid,
2025-06-18T13:07:22Z,2025-06-18T13:07:22Z,01JY1J7SA4XF3P12S0DPQHZJBA,01978323-e541-0edd-1aaf-24d1dea62598,internal:accelerometer,Internal Accelerometer,32.288s,2025-06-18T13:04:17Z,2025-06-18T13:04:49Z,valid,
2025-06-18T13:07:22Z,2025-06-18T13:07:22Z,01JY1J9TXGE12E9CRCT0H41Q3J,01978324-ebae-4ee9-5159-1fead6aa761e,internal:accelerometer,Internal Accelerometer,31.396s,2025-06-18T13:05:24Z,2025-06-18T13:05:55Z,valid,
2025-06-18T13:19:51Z,2025-06-18T13:19:51Z,01JY1JNAPJX8KRGBFMHE6A09TG,0197832a-aacf-61d9-e6f8-d618bf706439,internal:accelerometer,Internal Accelerometer,32.56s,2025-06-18T13:11:41Z,2025-06-18T13:12:13Z,valid,
2025-06-18T13:19:51Z,2025-06-18T13:19:51Z,01JY1JQART15PTZWKA63DK70YK,0197832b-ab17-a328-e226-014607ee46c6,internal:accelerometer,Internal Accelerometer,32.088s,2025-06-18T13:12:46Z,2025-06-18T13:13:18Z,valid,
2025-06-18T13:19:51Z,2025-06-18T13:19:51Z,01JY1JTHT52NPR5RPKTZM6EMRP,0197832d-4743-a3e5-1a27-d4fbdc88b5c8,D4:22:CD:00:38:5C,Movella DOT,15.901s,2025-06-18T13:14:32Z,2025-06-18T13:14:48Z,valid,
2025-06-18T13:20:21Z,2025-06-18T13:20:21Z,01JY1JX7KP4E8ZX3M1J9KA0Z8Q,0197832e-9e74-de62-b848-873af71e41dd,D4:22:CD:00:38:5C,Movella DOT,17.368s,2025-06-18T13:16:00Z,2025-06-18T13:16:17Z,valid,
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1JZ7YVC6SAHGDR2XJFN485,0197832f-9fd9-e4b8-1064-9aa0d7bbc6a0,D4:22:CD:00:38:5C,Movella DOT,29.835s,2025-06-18T13:17:06Z,2025-06-18T13:17:36Z,valid,
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1K12TXJ3HYFDYWWNCWDHG2,01978330-8b5b-f025-5058-40f1b074b148,D4:22:CD:00:38:5C,Movella DOT,29.919s,2025-06-18T13:18:06Z,2025-06-18T13:18:36Z,valid,
2025-06-18T13:44:21Z,2025-06-18T13:44:21Z,01JY1M8EVDASBEZNVVEQGQVHQ7,01978344-3b6b-eef3-bbbf-95c9f93f87ad,D4:22:CD:00:38:5C,Movella DOT,18.634s,2025-06-18T13:39:36Z,2025-06-18T13:39:55Z,valid,
2025-06-18T13:44:21Z,2025-06-18T13:44:21Z,01JY1MBE4R3S0CHT2WE11WPQH6,01978345-b88e-aacb-b986-06be739dd0eb,D4:22:CD:00:38:5C,Movella DOT,29.885s,2025-06-18T13:41:14Z,2025-06-18T13:41:44Z,valid,
2025-06-18T13:44:22Z,2025-06-18T13:44:22Z,01JY1ME0YZ697PDGPB2GH5RFT3,01978347-03de-7c67-8dc2-40f5d8a287a9,D4:22:CD:00:38:5C,Movella DOT,29.835s,2025-06-18T13:42:39Z,2025-06-18T13:43:09Z,valid,
2025-06-18T13:44:51Z,2025-06-18T13:44:51Z,01JY1M6DTSVHPD4RS8P4EYW980,01978343-3757-35a9-1925-da72cedf5450,D4:22:CD:00:38:5C,Movella DOT,17.551s,2025-06-18T13:38:30Z,2025-06-18T13:38:47Z,valid,
2025-06-18T13:45:21Z,2025-06-18T13:45:21Z,01JY1KZW9632366S3SN3B59HXD,0197833f-f122-3a71-5e25-2d4097a483b7,internal:accelerometer,Internal Accelerometer,30.064s,2025-06-18T13:34:55Z,2025-06-18T13:35:25Z,valid,
2025-06-18T13:45:21Z,2025-06-18T13:45:21Z,01JY1M249TKK52TZARX4GE42HG,01978341-1138-51c7-ca50-e2b8af425329,internal:accelerometer,Internal Accelerometer,32.159s,2025-06-18T13:36:09Z,2025-06-18T13:36:41Z,valid,
2025-06-18T13:55:51Z,2025-06-18T13:55:51Z,01JY1N0ER7A60FXXR317JW4CVR,01978350-3b04-9690-e602-f6d561a8c066,internal:accelerometer,Internal Accelerometer,30.977s,2025-06-18T13:52:42Z,2025-06-18T13:53:13Z,valid,
2025-06-18T13:55:51Z,2025-06-18T13:55:51Z,01JY1N2KFYDXW5998RM7085YCD,01978351-4dfc-ddd4-e6fe-b5b55d200842,internal:accelerometer,Internal Accelerometer,32.681s,2025-06-18T13:53:53Z,2025-06-18T13:54:26Z,valid,
2025-06-18T13:56:21Z,2025-06-18T13:56:21Z,01JY1MS1N2VWEB1QHX3ATXVYG6,0197834c-86a0-ee7f-7ac7-0c4de2603352,D4:22:CD:00:38:5C,Movella DOT,29.869s,2025-06-18T13:48:40Z,2025-06-18T13:49:10Z,valid,
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MWJ1KW34Y2FT4KKCT1CTK,0197834e-4831-d8ab-9b13-227f0c7c6d7e,D4:22:CD:00:38:5C,Movella DOT,19.968s,2025-06-18T13:50:35Z,2025-06-18T13:50:55Z,valid,
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MY9H5KGFSGSQJ1CAX3WXC,0197834f-2622-2d69-cf18-b8cbde302914,D4:22:CD:00:38:5C,Movella DOT,18.484s,2025-06-18T13:51:32Z,2025-06-18T13:51:50Z,valid,
2025-06-18T13:56:51Z,2025-06-18T13:56:51Z,01JY1MPWFVB99J3CQPQ00CPHPN,0197834b-71fa-3745-09ac-efcd4b597f8d,D4:22:CD:00:38:5C,Movella DOT,29.919s,2025-06-18T13:47:29Z,2025-06-18T13:47:59Z,valid,
2025-06-18T14:04:21Z,2025-06-18T14:04:21Z,01JY1NBN5BG4CAZXR2TQ1Q88HZ,01978355-d4a9-c124-10fc-72cdc418e52b,internal:accelerometer,Internal Accelerometer,31.117s,2025-06-18T13:58:49Z,2025-06-18T13:59:21Z,valid,
2025-06-18T14:04:21Z,2025-06-18T14:04:21Z,01JY1NDBK5CC9ATF1GFJM3YSW0,01978356-ae63-80e6-a897-25ac7954f294,internal:accelerometer,Internal Accelerometer,34.547s,2025-06-18T13:59:45Z,2025-06-18T14:00:20Z,valid,
2025-06-18T14:04:51Z,2025-06-18T14:04:51Z,01JY1NFX6PGRYFE39FX036K1W9,01978357-f4d4-121f-6b2a-19404a3a8e43,D4:22:CD:00:38:5C,Movella DOT,29.735s,2025-06-18T14:01:09Z,2025-06-18T14:01:39Z,valid,
2025-06-18T14:04:52Z,2025-06-18T14:04:52Z,01JY1NJWJBB5C183ER97K90Q46,01978359-7249-b46a-9cb1-e120727228ec,D4:22:CD:00:38:5C,Movella DOT,29.835s,2025-06-18T14:02:47Z,2025-06-18T14:03:16Z,valid,
2025-06-18T14:09:21Z,2025-06-18T14:09:21Z,01JY1NTCF3P7XZX4W20GKMJZEK,0197835d-31e1-a11a-867d-511f2759a535,D4:22:CD:00:38:5C,Movella DOT,17.751s,2025-06-18T14:06:52Z,2025-06-18T14:07:10Z,valid,
2025-06-18T14:09:22Z,2025-06-18T14:09:22Z,01JY1NWV2T5VVF63PNSMT8PB5A,0197835e-6c58-1070-ce10-11a4defd3bb2,D4:22:CD:00:38:5C,Movella DOT,20.685s,2025-06-18T14:08:13Z,2025-06-18T14:08:34Z,valid,
