CreatedAt,UpdatedAt,SignalID,Key,Value
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,Sample Rate,60 Hz
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,Device Label,DOT_0
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,Display Label,sit_to_stand
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,Sample Rate,60 Hz
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,Device Label,DOT_0
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,Display Label,sit_to_stand
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,Sample Rate,60 Hz
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,Device Label,DOT_0
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,Display Label,sit_to_stand
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,Sample Rate,60 Hz
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,Device Label,DOT_0
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,Display Label,sit_to_stand
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,Sample Rate,60 Hz
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,Device Label,DOT_0
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,Display Label,water_task
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,Sample Rate,60 Hz
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,Device Label,DOT_0
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,Display Label,water_task
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,Sample Rate,60 Hz
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,Device Label,DOT_0
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,Display Label,sit_to_stand
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,Sample Rate,60 Hz
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,Device Label,DOT_0
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,Display Label,sit_to_stand
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,Sample Rate,60 Hz
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,Device Label,DOT_0
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,Display Label,water_task
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,Sample Rate,60 Hz
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,Device Label,DOT_0
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,Display Label,water_task
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,Sample Rate,60 Hz
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,Device Label,DOT_0
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,Display Label,water_task
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,Sample Rate,60 Hz
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,Device Label,DOT_0
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,Display Label,water_task
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,Sample Rate,60 Hz
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,Device Label,DOT_0
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,Display Label,sit_to_stand
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,Sample Rate,60 Hz
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,Device Label,DOT_0
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,Display Label,sit_to_stand
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,Sample Rate,60 Hz
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,Device Label,DOT_0
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,Display Label,water_task
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJX9H09X2W7J4CDZAW9QX4,Sample Rate,60 Hz
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJX9H09X2W7J4CDZAW9QX4,Device Label,DOT_0
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJX9H09X2W7J4CDZAW9QX4,Display Label,water_task
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJNH0ZR5D2K48BK5PYWE48,Sample Rate,60 Hz
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJNH0ZR5D2K48BK5PYWE48,Device Label,DOT_0
2025-05-21T14:12:14Z,2025-05-21T14:12:14Z,01JVSJNH0ZR5D2K48BK5PYWE48,Display Label,sit_to_stand
2025-06-18T12:59:51Z,2025-06-18T12:59:51Z,01JY1HSZ7T13WBYG808D072E8Y,Sample Rate,60 Hz
2025-06-18T12:59:51Z,2025-06-18T12:59:51Z,01JY1HSZ7T13WBYG808D072E8Y,Device Label,DOT_0
2025-06-18T12:59:51Z,2025-06-18T12:59:51Z,01JY1HSZ7T13WBYG808D072E8Y,Display Label,water_task
2025-06-18T13:00:21Z,2025-06-18T13:00:21Z,01JY1HWVZH8FX56AJ0AHSX3N1K,Sample Rate,60 Hz
2025-06-18T13:00:21Z,2025-06-18T13:00:21Z,01JY1HWVZH8FX56AJ0AHSX3N1K,Device Label,DOT_0
2025-06-18T13:00:21Z,2025-06-18T13:00:21Z,01JY1HWVZH8FX56AJ0AHSX3N1K,Display Label,water_task
2025-06-18T13:06:51Z,2025-06-18T13:06:51Z,01JY1J1WNH7AF9AM1DBHVWV0NF,Sample Rate,60 Hz
2025-06-18T13:06:51Z,2025-06-18T13:06:51Z,01JY1J1WNH7AF9AM1DBHVWV0NF,Device Label,DOT_0
2025-06-18T13:06:51Z,2025-06-18T13:06:51Z,01JY1J1WNH7AF9AM1DBHVWV0NF,Display Label,sit_to_stand
2025-06-18T13:07:21Z,2025-06-18T13:07:21Z,01JY1J5DK4QSD41C846YY76X29,Sample Rate,60 Hz
2025-06-18T13:07:21Z,2025-06-18T13:07:21Z,01JY1J5DK4QSD41C846YY76X29,Device Label,DOT_0
2025-06-18T13:07:21Z,2025-06-18T13:07:21Z,01JY1J5DK4QSD41C846YY76X29,Display Label,sit_to_stand
2025-06-18T13:19:52Z,2025-06-18T13:19:52Z,01JY1JTHT52NPR5RPKTZM6EMRP,Sample Rate,60 Hz
2025-06-18T13:19:52Z,2025-06-18T13:19:52Z,01JY1JTHT52NPR5RPKTZM6EMRP,Device Label,DOT_0
2025-06-18T13:19:52Z,2025-06-18T13:19:52Z,01JY1JTHT52NPR5RPKTZM6EMRP,Display Label,water_task
2025-06-18T13:20:21Z,2025-06-18T13:20:21Z,01JY1JX7KP4E8ZX3M1J9KA0Z8Q,Sample Rate,60 Hz
2025-06-18T13:20:21Z,2025-06-18T13:20:21Z,01JY1JX7KP4E8ZX3M1J9KA0Z8Q,Device Label,DOT_0
2025-06-18T13:20:21Z,2025-06-18T13:20:21Z,01JY1JX7KP4E8ZX3M1J9KA0Z8Q,Display Label,water_task
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1JZ7YVC6SAHGDR2XJFN485,Sample Rate,60 Hz
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1JZ7YVC6SAHGDR2XJFN485,Device Label,DOT_0
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1JZ7YVC6SAHGDR2XJFN485,Display Label,sit_to_stand
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1K12TXJ3HYFDYWWNCWDHG2,Sample Rate,60 Hz
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1K12TXJ3HYFDYWWNCWDHG2,Device Label,DOT_0
2025-06-18T13:20:22Z,2025-06-18T13:20:22Z,01JY1K12TXJ3HYFDYWWNCWDHG2,Display Label,sit_to_stand
2025-06-18T13:56:21Z,2025-06-18T13:56:21Z,01JY1MS1N2VWEB1QHX3ATXVYG6,Sample Rate,60 Hz
2025-06-18T13:56:21Z,2025-06-18T13:56:21Z,01JY1MS1N2VWEB1QHX3ATXVYG6,Device Label,DOT_0
2025-06-18T13:56:21Z,2025-06-18T13:56:21Z,01JY1MS1N2VWEB1QHX3ATXVYG6,Display Label,sit_to_stand
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MWJ1KW34Y2FT4KKCT1CTK,Sample Rate,60 Hz
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MWJ1KW34Y2FT4KKCT1CTK,Device Label,DOT_0
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MWJ1KW34Y2FT4KKCT1CTK,Display Label,water_task
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MY9H5KGFSGSQJ1CAX3WXC,Sample Rate,60 Hz
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MY9H5KGFSGSQJ1CAX3WXC,Device Label,DOT_0
2025-06-18T13:56:22Z,2025-06-18T13:56:22Z,01JY1MY9H5KGFSGSQJ1CAX3WXC,Display Label,water_task
2025-06-18T13:56:51Z,2025-06-18T13:56:51Z,01JY1MPWFVB99J3CQPQ00CPHPN,Sample Rate,60 Hz
2025-06-18T13:56:51Z,2025-06-18T13:56:51Z,01JY1MPWFVB99J3CQPQ00CPHPN,Device Label,DOT_0
2025-06-18T13:56:51Z,2025-06-18T13:56:51Z,01JY1MPWFVB99J3CQPQ00CPHPN,Display Label,sit_to_stand
2025-06-18T14:04:51Z,2025-06-18T14:04:51Z,01JY1NFX6PGRYFE39FX036K1W9,Sample Rate,60 Hz
2025-06-18T14:04:51Z,2025-06-18T14:04:51Z,01JY1NFX6PGRYFE39FX036K1W9,Device Label,DOT_0
2025-06-18T14:04:51Z,2025-06-18T14:04:51Z,01JY1NFX6PGRYFE39FX036K1W9,Display Label,sit_to_stand
2025-06-18T14:04:52Z,2025-06-18T14:04:52Z,01JY1NJWJBB5C183ER97K90Q46,Sample Rate,60 Hz
2025-06-18T14:04:52Z,2025-06-18T14:04:52Z,01JY1NJWJBB5C183ER97K90Q46,Device Label,DOT_0
2025-06-18T14:04:52Z,2025-06-18T14:04:52Z,01JY1NJWJBB5C183ER97K90Q46,Display Label,sit_to_stand
2025-06-18T14:09:21Z,2025-06-18T14:09:21Z,01JY1NTCF3P7XZX4W20GKMJZEK,Sample Rate,60 Hz
2025-06-18T14:09:21Z,2025-06-18T14:09:21Z,01JY1NTCF3P7XZX4W20GKMJZEK,Device Label,DOT_0
2025-06-18T14:09:21Z,2025-06-18T14:09:21Z,01JY1NTCF3P7XZX4W20GKMJZEK,Display Label,water_task
2025-06-18T14:09:22Z,2025-06-18T14:09:22Z,01JY1NWV2T5VVF63PNSMT8PB5A,Sample Rate,60 Hz
2025-06-18T14:09:22Z,2025-06-18T14:09:22Z,01JY1NWV2T5VVF63PNSMT8PB5A,Device Label,DOT_0
2025-06-18T14:09:22Z,2025-06-18T14:09:22Z,01JY1NWV2T5VVF63PNSMT8PB5A,Display Label,water_task
2025-06-19T13:42:21Z,2025-06-19T13:42:21Z,01JY1ME0YZ697PDGPB2GH5RFT3,Sample Rate,60 Hz
2025-06-19T13:42:21Z,2025-06-19T13:42:21Z,01JY1ME0YZ697PDGPB2GH5RFT3,Device Label,DOT_0
2025-06-19T13:42:21Z,2025-06-19T13:42:21Z,01JY1ME0YZ697PDGPB2GH5RFT3,Display Label,sit_to_stand
2025-06-19T13:42:51Z,2025-06-19T13:42:51Z,01JY1M6DTSVHPD4RS8P4EYW980,Sample Rate,60 Hz
2025-06-19T13:42:51Z,2025-06-19T13:42:51Z,01JY1M6DTSVHPD4RS8P4EYW980,Device Label,DOT_0
2025-06-19T13:42:51Z,2025-06-19T13:42:51Z,01JY1M6DTSVHPD4RS8P4EYW980,Display Label,water_task
2025-06-19T13:42:52Z,2025-06-19T13:42:52Z,01JY1M8EVDASBEZNVVEQGQVHQ7,Sample Rate,60 Hz
2025-06-19T13:42:52Z,2025-06-19T13:42:52Z,01JY1M8EVDASBEZNVVEQGQVHQ7,Device Label,DOT_0
2025-06-19T13:42:52Z,2025-06-19T13:42:52Z,01JY1M8EVDASBEZNVVEQGQVHQ7,Display Label,water_task
2025-06-19T13:42:52Z,2025-06-19T13:42:52Z,01JY1MBE4R3S0CHT2WE11WPQH6,Sample Rate,60 Hz
2025-06-19T13:42:52Z,2025-06-19T13:42:52Z,01JY1MBE4R3S0CHT2WE11WPQH6,Device Label,DOT_0
2025-06-19T13:42:52Z,2025-06-19T13:42:52Z,01JY1MBE4R3S0CHT2WE11WPQH6,Display Label,sit_to_stand
2025-06-23T12:50:51Z,2025-06-23T12:50:51Z,01JYED2SDTEVFJYB30SKJVWN07,Sample Rate,60 Hz
2025-06-23T12:50:51Z,2025-06-23T12:50:51Z,01JYED2SDTEVFJYB30SKJVWN07,Device Label,DOT_0
2025-06-23T12:50:51Z,2025-06-23T12:50:51Z,01JYED2SDTEVFJYB30SKJVWN07,Display Label,water_task
2025-06-23T12:51:21Z,2025-06-23T12:51:21Z,01JYED6HA0JE1XCXS6AAVZE35E,Sample Rate,60 Hz
2025-06-23T12:51:21Z,2025-06-23T12:51:21Z,01JYED6HA0JE1XCXS6AAVZE35E,Device Label,DOT_0
2025-06-23T12:51:21Z,2025-06-23T12:51:21Z,01JYED6HA0JE1XCXS6AAVZE35E,Display Label,water_task
2025-06-23T12:51:22Z,2025-06-23T12:51:22Z,01JYED8JYQPETP780CRN0X7F1Y,Sample Rate,60 Hz
2025-06-23T12:51:22Z,2025-06-23T12:51:22Z,01JYED8JYQPETP780CRN0X7F1Y,Device Label,DOT_0
2025-06-23T12:51:22Z,2025-06-23T12:51:22Z,01JYED8JYQPETP780CRN0X7F1Y,Display Label,sit_to_stand
2025-06-23T12:51:22Z,2025-06-23T12:51:22Z,01JYEDBX0GS6FPMVP67269SDTV,Sample Rate,60 Hz
2025-06-23T12:51:22Z,2025-06-23T12:51:22Z,01JYEDBX0GS6FPMVP67269SDTV,Device Label,DOT_0
2025-06-23T12:51:22Z,2025-06-23T12:51:22Z,01JYEDBX0GS6FPMVP67269SDTV,Display Label,sit_to_stand
2025-06-23T13:12:21Z,2025-06-23T13:12:21Z,01JYEE8ZZD5FTP79ZVJ5Z2TRPX,Sample Rate,60 Hz
2025-06-23T13:12:21Z,2025-06-23T13:12:21Z,01JYEE8ZZD5FTP79ZVJ5Z2TRPX,Device Label,DOT_0
2025-06-23T13:12:21Z,2025-06-23T13:12:21Z,01JYEE8ZZD5FTP79ZVJ5Z2TRPX,Display Label,water_task
2025-06-23T13:12:22Z,2025-06-23T13:12:22Z,01JYEEC2FM1VNM6PS64M00WTAW,Sample Rate,60 Hz
2025-06-23T13:12:22Z,2025-06-23T13:12:22Z,01JYEEC2FM1VNM6PS64M00WTAW,Device Label,DOT_0
2025-06-23T13:12:22Z,2025-06-23T13:12:22Z,01JYEEC2FM1VNM6PS64M00WTAW,Display Label,water_task
2025-06-23T13:12:52Z,2025-06-23T13:12:52Z,01JYEDS4AHGV9Z4PCT8Y3E5N2W,Sample Rate,60 Hz
2025-06-23T13:12:52Z,2025-06-23T13:12:52Z,01JYEDS4AHGV9Z4PCT8Y3E5N2W,Device Label,DOT_0
2025-06-23T13:12:52Z,2025-06-23T13:12:52Z,01JYEDS4AHGV9Z4PCT8Y3E5N2W,Display Label,sit_to_stand
2025-06-23T13:12:52Z,2025-06-23T13:12:52Z,01JYEDY7RFWB6Y32DP8ARV7HEN,Sample Rate,60 Hz
2025-06-23T13:12:52Z,2025-06-23T13:12:52Z,01JYEDY7RFWB6Y32DP8ARV7HEN,Device Label,DOT_0
2025-06-23T13:12:52Z,2025-06-23T13:12:52Z,01JYEDY7RFWB6Y32DP8ARV7HEN,Display Label,sit_to_stand
2025-06-25T14:25:51Z,2025-06-25T14:25:51Z,01JYEFEYPXH2TSMX4VAHT1QGT8,Sample Rate,60 Hz
2025-06-25T14:25:51Z,2025-06-25T14:25:51Z,01JYEFEYPXH2TSMX4VAHT1QGT8,Device Label,DOT_0
2025-06-25T14:25:51Z,2025-06-25T14:25:51Z,01JYEFEYPXH2TSMX4VAHT1QGT8,Display Label,water_task
2025-06-25T14:25:52Z,2025-06-25T14:25:52Z,01JYEFGWDQDCMEG18PZQY3ASAX,Sample Rate,60 Hz
2025-06-25T14:25:52Z,2025-06-25T14:25:52Z,01JYEFGWDQDCMEG18PZQY3ASAX,Device Label,DOT_0
2025-06-25T14:25:52Z,2025-06-25T14:25:52Z,01JYEFGWDQDCMEG18PZQY3ASAX,Display Label,water_task
2025-06-25T14:26:22Z,2025-06-25T14:26:22Z,01JYEF9B08NBAN4HWFJVAEFKK7,Sample Rate,60 Hz
2025-06-25T14:26:22Z,2025-06-25T14:26:22Z,01JYEF9B08NBAN4HWFJVAEFKK7,Device Label,DOT_0
2025-06-25T14:26:22Z,2025-06-25T14:26:22Z,01JYEF9B08NBAN4HWFJVAEFKK7,Display Label,sit_to_stand
2025-06-25T14:26:22Z,2025-06-25T14:26:22Z,01JYEFCD7V0QB1TH2H9C4X0AAT,Sample Rate,60 Hz
2025-06-25T14:26:22Z,2025-06-25T14:26:22Z,01JYEFCD7V0QB1TH2H9C4X0AAT,Device Label,DOT_0
2025-06-25T14:26:22Z,2025-06-25T14:26:22Z,01JYEFCD7V0QB1TH2H9C4X0AAT,Display Label,sit_to_stand
